vehicle_name,fleet_name,brand,model,category,fuel_type_clean,days_active,distance_traveled_km,liters_consumed,engine_time_sec,travel_time_sec,idle_time_sec,total_co2_kg,total_fuel_cost_eur,km_per_liter,idle_ratio
GN226DC,MENSE E RISTORAZIONE,,,Default,default,7,198.29296875,20.0,52062.0,35706.0,16356.0,50.0,30.0,9.9146484375,0.314163881525873
EY260LV,VERDE,,,Default,default,7,198.078125,23.4,28436.0,17942.0,10494.0,58.5,35.1,8.464877136752138,0.369039246026164
FK207NF,VERONICA MATERASSI ,,,Default,default,7,194.9375,7.3,36779.0,22906.0,13873.0,18.25,10.95,26.703767123287673,0.3771989450501645
GH963AD,UFFICIO MEZZI,,,Default,default,8,194.353515625,36.900000000000006,82314.0,13239.0,69075.0,92.25,55.35000000000001,5.267032943766937,0.8391646621473868
DD052PB,PULIZIE COOP ,,,Default,default,5,191.109375,8.1,84867.0,23686.0,61181.0,20.25,12.149999999999999,23.59375,0.7209044740594106
GL424YP,CREMONA,,,Default,default,7,190.43359375,13.8,97438.0,34981.0,62457.0,34.5,20.700000000000003,13.799535778985506,0.640992220694185
FM709BV,PULIZIE COOP ,,,Default,default,7,190.203125,10.0,33079.0,19552.0,13527.0,25.0,15.0,19.0203125,0.4089301369448895
FF861WD,NICOLA PRATESI,,,Default,default,7,188.875,15.099999999999998,35037.0,16593.0,18444.0,37.75,22.65,12.508278145695366,0.5264149327853412
FK410AR,SONIA MONTAGNA ,,,Default,default,7,188.4296875,12.2,24426.0,17529.0,6969.0,30.5,18.3,15.445056352459018,0.2853107344632768
GM840CC,PRATO INGOMBRANTI,,,Default,default,7,185.01953125,15.5,57043.0,21210.0,35833.0,38.75,23.25,11.936743951612904,0.6281752362253037
FF810LM,UFFICIO MEZZI,,,Default,default,7,183.9765625,8.4,21142.0,19041.0,2107.0,21.0,12.6,21.901971726190474,0.09965944565320216
ET143MX,VERDE,,,Default,default,7,182.5,13.5,21233.0,15554.0,5679.0,33.75,20.25,13.518518518518519,0.26746102764564594
FH818DM,KOLA-FERRANTE,,,Default,default,7,180.7109375,10.4,26180.0,25603.0,985.0,26.0,15.6,17.376051682692307,0.03762414056531704
GB991ZG,LUCCA,,,Default,default,7,180.5390625,70.0,63734.0,31477.0,32257.0,175.0,105.0,2.5791294642857143,0.5061191828537358
GT832ZX,UFFICIO MEZZI,,,Default,default,6,177.390625,6.1,161603.0,19673.0,141930.0,15.25,9.149999999999999,29.080430327868854,0.8782633985755215
GP248VK,ELETTRICISTI,,,Default,default,7,174.701171875,9.899999999999999,22616.0,15266.0,7350.0,24.75,14.849999999999998,17.64658301767677,0.324991156703219
ZA323YX,MILANO,,,Default,default,6,174.03125,15.5,65723.0,36697.0,29026.0,38.75,23.249999999999996,11.227822580645162,0.44164143450542426
GG591AM,UFFICIO MEZZI,,,Default,default,8,173.3515625,10.0,23691.0,21413.0,2278.0,25.0,15.0,17.33515625,0.09615465788696129
GF500KP,UFFICIO MEZZI,,,Default,default,7,171.73046875,7.2,82861.0,15438.0,67423.0,18.0,10.8,23.851453993055554,0.8136879834904237
GL423YP,CREMONA,,,Default,default,7,170.05859375,12.100000000000001,112175.0,38396.0,73779.0,30.25,18.150000000000002,14.054429235537189,0.6577133942500557
FB956WL,IMPRUNETA ,,,Default,default,8,164.53125,68.7,33188.0,13900.0,19288.0,171.75,103.05,2.3949235807860263,0.581173918283717
