date,vehicle_name,fleet_name,category,km_per_liter,idle_ratio,distance_km,anomaly_types,severity
2025-09-28,FK639WH,AMBIENTE,Default,14.214527027027026,0.7428271976942225,52.59375,High Idle (informational),0
2025-09-23,FJ406VB,AMBIENTE,Default,23.703703703703702,0.8585228922659955,64.0,High Idle (informational),0
2025-09-24,FJ406VB,AMBIENTE,Default,32.447916666666664,0.8158625655796728,68.140625,High Idle (informational),0
2025-09-25,FJ406VB,AMBIENTE,Default,33.7109375,0.7973612397666675,40.453125,High Idle (informational),0
2025-09-26,FJ406VB,AMBIENTE,Default,,0.38605442176870747,1.28125,"High Idle (informational), Low Distance",1
2025-09-27,FJ406VB,AMBIENTE,Default,26.672794117647058,0.7022510231923602,45.34375,High Idle (informational),0
2025-09-28,FJ406VB,AMBIENTE,Default,34.56730769230769,0.7246531128339933,44.9375,High Idle (informational),0
2025-09-28,FJ406VB,AMBIENTE,Default,34.56730769230769,0.7246531128339933,44.9375,High Idle (informational),0
2025-09-23,FH251GA,AMBIENTE,Default,27.974137931034484,0.8681794195250659,81.125,High Idle (informational),0
2025-09-25,FH251GA,AMBIENTE,Default,24.166666666666668,0.5910117520958542,58.0,High Idle (informational),0
2025-09-22,FF704SR,AMBIENTE,Default,34.074519230769226,0.7390432923570284,88.59375,High Idle (informational),0
2025-09-23,FF704SR,AMBIENTE,Default,,0.5216498474536494,15.84375,High Idle (informational),0
2025-09-24,FF704SR,AMBIENTE,Default,,0.8679595626160511,15.15625,High Idle (informational),0
2025-09-26,FF704SR,AMBIENTE,Default,25.018939393939394,0.8159273816208122,82.5625,High Idle (informational),0
2025-09-27,FF704SR,AMBIENTE,Default,,0.5303100826739366,12.078125,High Idle (informational),0
2025-09-28,FF704SR,AMBIENTE,Default,,0.8689285714285714,2.5625,High Idle (informational),0
2025-09-28,FF704SR,AMBIENTE,Default,,0.8689285714285714,2.5625,High Idle (informational),0
2025-09-23,GN605SD,AMBIENTE SARTI,Default,23.85551948051948,0.708031713202344,183.6875,High Idle (informational),0
2025-09-24,GN605SD,AMBIENTE SARTI,Default,27.531601123595504,0.4483711685972485,245.03125,High Idle (informational),0
2025-09-25,GN605SD,AMBIENTE SARTI,Default,,0.9359041167274622,8.0625,High Idle (informational),0
2025-09-26,GX739YZ,AMIANTO,Default,26.912802419354836,0.32397683151931767,83.4296875,High Idle (informational),0
