brand,model,fuel_type,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,idle_ratio,utilization,km_per_liter_filled_capped,co2_per_km,fuel_cost_per_km,fuel_benchmark
CITROEN,C3,Diesel,18,10445.08447265625,369.6,990.528,628.3199999999999,0.3406930857589069,0.3807103280141844,28.260509936840503,0.09483197599723218,0.06015461164003533,8.0
CITROEN,JUMPER,Diesel,3,1513.890625,124.2,332.856,211.14,0.2729190433562787,0.3815046296296296,12.189135466988727,0.21986793134411542,0.13946846391231202,8.0
DACIA,LOGAN,Diesel,1,101.765625,0.0,0.0,0.0,,0.1812962962962963,,0.0,0.0,8.0
DONGFENG,ND,Diesel,1,1.03515625,0.0,0.0,0.0,,0.0525,,0.0,0.0,8.0
FAIT,DOBLO',Diesel,1,708.75,45.1,120.86800000000001,76.66999999999999,0.8516478919766652,0.5662731481481481,15.715077605321508,0.17053686067019402,0.10817636684303349,8.0
FAIT,PUNTO,Diesel,1,485.046875,18.7,50.116,31.79,0.5920488756171068,0.6249814814814815,25.938335561497325,0.1033219727474793,0.06554005733981896,8.0
FIAT,DOBLO,Diesel,8,3517.38671875,189.9,508.932,322.83,0.4714507213694512,0.3449596138691884,18.52231026197999,0.14469037404589477,0.09178120741717205,8.0
FIAT,DOBLO',Diesel,32,10853.59521484375,471.900036621,1264.69209814428,802.2300622557,0.43709223753077964,0.3246613425925926,22.99977616564727,0.11652287312269059,0.07391376280170671,8.0
FIAT,DOBLò,Diesel,9,5172.8662109375,273.6,733.248,465.12,0.3817197201328231,0.3640585648148148,18.90667474757858,0.14174888158708254,0.08991533533508966,8.0
FIAT,DUCATO,Diesel,24,11175.95263671875,811.4,2174.552,1379.3799999999999,0.3305459962822165,0.27546705379948916,13.7736660546201,0.19457419610525897,0.1234239303652762,8.0
FIAT,FIORINO,Diesel,31,10460.11767578125,412.8,1106.304,701.76,0.4284000155135299,0.40454290558163797,25.339432354121243,0.10576401091179617,0.06708911139927368,8.0
FIAT,GRANDE PUNTO,Diesel,1,836.421875,40.9,109.61200000000001,69.53,0.13456320686847117,0.638181216931217,20.45041259168704,0.1310487007528348,0.08312790719396237,8.0
FIAT,PANDA,Diesel,34,11683.21484375,512.8999755859,1374.571934570212,871.9299584960299,0.4445537547836338,0.42443899782135075,22.77873932515582,0.1176535699251946,0.07463099584807119,8.0
FIAT,PANDA VAN,Diesel,1,291.78125,0.0,0.0,0.0,,0.3399404761904762,,0.0,0.0,8.0
FIAT,PUNTO,Diesel,20,7520.328125,296.5,794.62,504.04999999999995,0.3167446447089229,0.4206740406643757,25.363669898819563,0.10566294273230266,0.06702500098690839,8.0
FIAT,SCUDO,Diesel,4,2916.99072265625,202.2,541.8960000000001,343.74,0.13843287132679702,0.3931324891067538,14.426264701564046,0.18577227407379016,0.11784062161397135,8.0
FIAT,TALENTO,Diesel,4,1552.12109375,93.0,249.24000000000004,158.1,0.30890554382126056,0.29538144122383253,16.689474126344088,0.1605802543394498,0.10186060909591964,8.0
FIAT,TIPO,Diesel,6,5211.87890625,250.2,670.5360000000001,425.34,0.27462377245079383,0.4758745234204793,20.830850944244606,0.12865532988418135,0.08160972418026428,8.0
FORD,CURRIER,Diesel,1,235.98583984375,10.6,28.408,18.02,0.19022811463228212,0.4012824074074074,22.262815079599058,0.12038010424188753,0.0763605138847794,8.0
FORD,FIESTA,Diesel,3,757.37109375,45.6,122.20800000000001,77.52,0.2580622712549482,0.37037649782135074,16.609015213815788,0.16135815191322783,0.10235405158674898,8.0
FORD,FOCUS,Diesel,4,1996.5849609375,139.3,373.324,236.81,0.6395062906260753,0.6142873041310541,14.332986079953336,0.18698127417763633,0.11860752466491857,8.0
FORD,PUMA,Diesel,5,3149.14599609375,194.2,520.456,330.14,0.6930585462674512,0.4936781609195402,16.215993800688725,0.16526893343324883,0.10483477120765783,8.0
FUSO,3513,Diesel,2,696.83203125,0.0,0.0,0.0,,0.353677662037037,,0.0,0.0,8.0
FUSO,CANTER,Diesel,5,2043.15283203125,242.3,649.364,411.90999999999997,0.6788381296239742,0.3357274519890261,8.43232699971626,0.3178244866559586,0.20160508481907818,8.0
